Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
SLM1042 #1,LB,0.01,1e-06,1e-05,1,5,20,32,263636363.6
SLM1042 #2,LB,0.01,1e-06,1e-05,2,3,31,25,277272727.3
SLM1042 #3,LB,0.01,1e-06,1e-05,5,3,26,17,231818181.8
SLM1042 #4,LB,0.01,1e-06,1e-05,5,3,21,22,231818181.8
SLM1042 #5,LB,0.01,1e-06,1e-05,0,1,24,30,250000000.0
SLM1042 #6,LB,0.01,1e-06,1e-05,4,5,30,25,290909090.9
SLM1042 #7,LB,0.01,1e-06,1e-05,2,5,35,23,295454545.5
SLM1042 #8,LB,0.01,1e-06,1e-05,1,4,39,29,331818181.8
SLM1042 #9,LB,0.01,1e-06,1e-05,4,3,31,28,300000000.0
SLM1042 #10,LB,0.01,1e-06,1e-05,4,2,31,27,290909090.9
SLM1042 #11,LB,0.01,1e-06,1e-05,2,1,25,19,213636363.6
SLM1043 #1,LB,0.01,1e-06,1e-05,2,7,38,27,336363636.4
SLM1043 #2,LB,0.01,1e-06,1e-05,3,0,24,22,222727272.7
SLM1043 #3,LB,0.01,1e-06,1e-05,6,4,18,20,218181818.2
SLM1043 #4,LB,0.01,1e-06,1e-05,1,4,23,32,272727272.7
SLM1043 #5,LB,0.01,1e-06,1e-05,0,0,12,12,109090909.1
SLM1043 #6,LB,0.01,1e-06,1e-05,2,3,26,29,272727272.7
SLM1043 #7,LB,0.01,1e-06,1e-05,2,3,26,29,272727272.7
SLM1043 #8,LB,0.01,1e-06,1e-05,2,5,39,41,395454545.5
SLM1043 #9,LB,0.01,1e-06,1e-05,3,7,28,22,272727272.7
SLM1043 #10,LB,0.01,1e-06,1e-05,1,3,30,30,290909090.9
SLM1043 #11,LB,0.01,1e-06,1e-05,3,3,24,32,281818181.8
DG024 #1,LB,0.01,1e-06,1e-05,3,3,24,26,254545454.5
DG024 #2,LB,0.01,1e-06,1e-05,2,2,26,20,227272727.3
DG024 #3,LB,0.01,1e-06,1e-05,3,0,23,31,259090909.1
DG024 #4,LB,0.01,1e-06,1e-05,3,2,30,14,222727272.7
DG024 #5,LB,0.01,1e-06,1e-05,2,3,23,24,236363636.4
DG024 #6,LB,0.01,1e-06,1e-05,4,5,21,25,250000000.0
DG024 #7,LB,0.01,1e-06,1e-05,0,3,22,22,213636363.6
DG024 #8,LB,0.01,1e-06,1e-05,1,2,18,15,163636363.6
DG024 #9,LB,0.01,1e-06,1e-05,3,2,17,22,200000000.0
DG024 #10,LB,0.01,1e-06,1e-05,3,1,23,26,240909090.9
DG024 #11,LB,0.01,1e-06,1e-05,5,2,32,31,318181818.2
DG026 #1,LB,0.01,1e-06,1e-05,5,2,20,29,254545454.5
DG026 #2,LB,0.01,1e-06,1e-05,4,3,30,31,309090909.1
DG026 #3,LB,0.01,1e-06,1e-05,4,4,26,27,277272727.3
DG026 #4,LB,0.01,1e-06,1e-05,1,5,21,29,254545454.5
DG026 #5,LB,0.01,1e-06,1e-05,3,1,25,34,286363636.4
DG026 #6,LB,0.01,1e-06,1e-05,6,2,27,24,268181818.2
